[37.37s -> 39.17s]  Hello, everyone. Hello.
[14202.56s -> 14207.62s]  Your mother told me this trinket would bring good fortune
[14207.62s -> 14210.18s]  to think I trusted her.
[14210.18s -> 14213.22s]  She bribed you with it, didn't she?
[14213.22s -> 14216.83s]  You weren't supposed to let her through at all.
[14216.83s -> 14218.15s]  But it's not too late.
[14218.15s -> 14220.76s]  She can still be saved.
[14220.76s -> 14222.36s]  Not by me.
[14222.36s -> 14223.84s]  Not anymore.
[14223.84s -> 14224.68s]  There it was.
[14224.68s -> 14227.68s]  Prava will know what to do.
[14227.68s -> 14229.56s]  You're leaving us?
[14229.56s -> 14231.28s]  Abandoning her?
[14231.28s -> 14232.12s]  What happened to my buddy, Eric?
[14232.12s -> 14234.24s]  There's nothing left to abandon.
[14234.24s -> 14235.52s]  Yeah.
[14235.56s -> 14237.56s]  She's good as dead.
[14237.56s -> 14238.72s]  I'm sorry, kid.
[14238.72s -> 14239.56s]  Yeah.
[14239.56s -> 14240.56s]  I heard about Eric.
[14240.56s -> 14245.07s]  He really just left us.
[14245.07s -> 14245.91s]  Damn.
[14245.91s -> 14249.22s]  It's up to us now.
[14249.22s -> 14250.18s]  He's bored?
[14250.18s -> 14251.94s]  I'm just playing a game, relax.
[14260.99s -> 14264.06s]  Lilith can't be too far.
[14264.06s -> 14272.39s]  We're actually gonna fight Lilith right now, are we?
[14272.39s -> 14279.39s]  What is this?
[14279.39s -> 14282.54s]  Now your mother races.
[14282.54s -> 14284.03s]  Yes.
[14284.03s -> 14289.30s]  I am Lilith, mother of sanctuary.
[14289.30s -> 14291.73s]  Daughter of hatred.
[14291.73s -> 14295.66s]  I have what you seek.
[14295.66s -> 14297.70s]  You hunger for knowledge.
[14297.70s -> 14298.54s]  Water.
[14298.54s -> 14301.62s]  You dragged your child all over sanctuary
[14301.62s -> 14304.10s]  in pursuit of it.
[14304.10s -> 14307.10s]  No, I taught her how to survive.
[14308.18s -> 14312.39s]  Is that what you want to believe?
[14312.39s -> 14315.10s]  Drop the act.
[14315.10s -> 14317.38s]  You have questions.
[14317.38s -> 14319.86s]  I have answers.
[14320.74s -> 14326.30s]  I know the fabric of the cosmos.
[14326.38s -> 14330.39s]  Everything I've read has warned me against you.
[14330.39s -> 14336.91s]  You've read so much, yet know so little.
[14336.91s -> 14339.59s]  Will you accept my offer?
[14339.59s -> 14340.99s]  No.
[14340.99s -> 14345.11s]  I don't know.
[14345.11s -> 14346.43s]  Will you let me try?
[14348.43s -> 14350.11s]  Take the fucking glasses off.
[14350.11s -> 14353.45s]  Your mother is alive.
[14353.45s -> 14356.21s]  She came this way with Lilith.
[14356.21s -> 14360.54s]  How can you be sure?
[14360.54s -> 14364.51s]  Sometimes I see visions of the past.
[14364.51s -> 14366.67s]  I saw them.
[14366.67s -> 14367.83s]  What?
[14367.83s -> 14369.55s]  How?
[14369.55s -> 14371.48s]  Lilith's petals.
[14371.48s -> 14374.53s]  Her blood was fed to me once.
[14374.53s -> 14377.18s]  You stupid human.
[14377.18s -> 14382.35s]  I'm immune to the plasma damage that your eyes emit.
[14382.35s -> 14387.59s]  It's too bad because ice and fire both hurt a lot.
[14388.63s -> 14392.27s]  It has 10 points in it.
[14392.27s -> 14415.93s]  That was too much.
[14415.93s -> 14418.77s]  Oh well.
[14418.77s -> 14423.08s]  Chat is more divided.
[14423.08s -> 14426.97s]  You watched X-Man yesterday, didn't you?
[14426.97s -> 14430.03s]  No.
[14444.18s -> 14450.39s]  Are we really going to argue that Cyclops didn't have the best drip out of all the X-Men?
[14450.39s -> 14461.53s]  It would be weird if you were to say that.
[14461.53s -> 14466.25s]  Just drip.
[14466.25s -> 14466.97s]  What are you talking about?
[14466.97s -> 14472.57s]  I said drip, drip, drip.
[14472.89s -> 14474.29s]  You guys.
[14474.29s -> 14489.10s]  Fucked.
[14489.10s -> 14490.22s]  I didn't say drip.
[14490.22s -> 14494.76s]  I said drip.
[14494.76s -> 14495.52s]  Watch the clip.
[14495.52s -> 14498.48s]  Boy, just go download a clip and watch it.
[14498.48s -> 14499.24s]  I didn't say that.
[14499.24s -> 14506.54s]  I said drip.
[14506.54s -> 14507.66s]  They're going to get out of here.
[14507.66s -> 14515.02s]  They're going to get out of here for a minute.
[14515.02s -> 14518.11s]  Yeah.
[14518.11s -> 14519.59s]  You definitely said no.
[14519.59s -> 14520.39s]  Give me a clip.
[14520.39s -> 14524.02s]  I want to see it right now.
[14524.02s -> 14524.94s]  Somebody show it to me.
[14524.94s -> 14525.42s]  Link it to me.
[14525.42s -> 14525.82s]  I want to see.
[14525.82s -> 14529.41s]  I prove it to me.
[14529.41s -> 14551.67s]  Fucking die.
[14551.67s -> 14558.53s]  Out of mana once again.
[14558.53s -> 14575.30s]  Are we really going to argue that Cyclops didn't have the best drip out of all the X-Men?
[14575.30s -> 14576.86s]  I didn't do that!
[14576.86s -> 14577.86s]  What?
[14577.86s -> 14589.33s]  Are we really going to argue that Cyclops didn't have the best drip out of all-
[14589.33s -> 14590.33s]  It's drip!
[14590.33s -> 14591.53s]  I said drip.
[14591.53s -> 14592.85s]  I swear to you.
[14592.85s -> 14613.74s]  Are we really going to argue that Cyclops didn't have the best drip out of all the X-Men?
[14613.74s -> 14617.18s]  No, dude, it's D. I'm telling you. I said D
[14621.15s -> 14625.84s]  I don't know. We're really gonna argue that
[14626.96s -> 14628.96s]  like
[14643.76s -> 14648.08s]  It's the noise gate on here or something I why would I say that i'm talking about his clothes
[14648.40s -> 14651.44s]  He's got these he's got the blue and he's got the yellow
[14653.36s -> 14655.36s]  And it's it's I
[14655.68s -> 14657.68s]  I whatever who cares?
[14657.76s -> 14661.60s]  Fuck it. You know, fuck it. Whatever. Yeah, cool. I don't care. Yeah
[14663.02s -> 14665.66s]  Yeah, we're good. We're cool. But either way, I don't care
[14666.46s -> 14672.26s]  Yeah, we're good
[14672.26s -> 14674.26s]  Fuck it. We're still alive. It's fine
[14687.25s -> 14689.25s]  I can't fucking believe it's funny
[14694.08s -> 14696.08s]  It literally is the noise gate
[14696.16s -> 14699.36s]  Well, let them let them have their let them have their fun. It's okay
[14713.28s -> 14715.28s]  Okay, I need to find a deeper way
[14717.66s -> 14718.84s]  into
[14718.84s -> 14727.07s]  kasama
[14727.07s -> 14736.77s]  this works
[14736.85s -> 14742.72s]  rathma
[14742.72s -> 14743.68s]  Yeah
[14743.68s -> 14747.58s]  there
[14747.58s -> 14755.38s]  All right, let's go. You think you're better than us. Just remember when I said that
[14767.55s -> 14769.23s]  grip gate
[14769.23s -> 14771.23s]  So curious
[14771.63s -> 14774.83s]  You are eager to know why you were spared
[14776.19s -> 14778.40s]  Yes
[14778.40s -> 14782.40s]  Do you have faith in me freaking water through straw is hard to do
[14782.96s -> 14785.54s]  want to
[14785.54s -> 14789.57s]  Good for now. All you need know
[14790.54s -> 14792.54s]  Is that we are going to meet?
[14792.78s -> 14795.09s]  my son
[14795.09s -> 14797.84s]  rathma the first necromancer
[14799.63s -> 14801.63s]  Here's that I just want to like
[14802.91s -> 14805.15s]  You know what I mean? Here's the key to my plant
[14806.86s -> 14809.74s]  It sounds like they're searching for lilith's son rathma
[14811.54s -> 14813.97s]  together
[14813.97s -> 14815.97s]  What are you thinking?
[14820.48s -> 14822.48s]  Just drink it
[14847.66s -> 14855.63s]  Okay, so when you drink water, oh my god drinking water through a straw it's like
[14856.83s -> 14858.83s]  This I want to just
[14859.47s -> 14862.37s]  I want to just you know what grottobeast.net
[14862.83s -> 14867.71s]  Uh, if I were you out check it out. It's a fun game that we got a fun piece of community merchandise
[14868.27s -> 14870.40s]  I would love for you to check it out
[14870.40s -> 14872.80s]  And uh, I got a glow in the dark shirt
[14872.88s -> 14877.20s]  We'll take a picture of it so you can see what the glow in the dark really looks like about a shitty webcam
[14877.84s -> 14879.84s]  Should be cool. It looks pretty cool
[14882.51s -> 14891.46s]  Grip game
[14903.39s -> 14909.50s]  What I was trying to say is I like to drink water faster than I can get it out through straw
[14928.86s -> 14967.20s]  Especially when i'm just thirsty as hell just use a bigger straw I need mana
[14978.37s -> 14984.13s]  I was gonna say that was this
[14990.18s -> 15023.18s]  Do the vortex trick so the water goes into the straw faster. How does that work? Oh, I completely forgot
[15024.14s -> 15025.18s]  um
[15025.18s -> 15027.55s]  So the grottobeast resale stuff
[15027.79s -> 15030.42s]  There's been some questions on that i'll answer very quickly
[15031.22s -> 15033.78s]  so the whole point of the presale was to make sure that
[15035.17s -> 15037.65s]  We didn't run out of inventory
[15038.37s -> 15040.37s]  We'd be able to get more for this period
[15041.90s -> 15044.94s]  But as of this coming, I believe this coming week
[15045.42s -> 15047.42s]  We're going to be coming out of the presale
[15049.42s -> 15052.06s]  So what that really realistically means
[15053.18s -> 15054.70s]  is that
[15054.70s -> 15056.22s]  We're not
[15056.22s -> 15060.82s]  gonna die
[15060.82s -> 15079.25s]  Okay, so with that really with that. Ooh, hold on 10 almost 10 crowd controlled enemies
[15080.61s -> 15082.05s]  Close enemies
[15082.05s -> 15100.45s]  Okay, so just it's essentially 14. It's 13 to 14 percent more damage. No matter what very cool. Got a lucky hit
[15101.46s -> 15102.82s]  Close enemies
[15102.82s -> 15104.58s]  And then more lightning damage
[15104.58s -> 15109.36s]  So I gotta get close
[15110.64s -> 15111.84s]  But yeah, so
[15111.84s -> 15113.84s]  We're confident now
[15113.84s -> 15117.36s]  That a lot of the we want to make sure that the people that really wanted to get in on it
[15118.16s -> 15122.16s]  Had access to it. So now we're just coming out of presale soon
[15122.88s -> 15124.32s]  so just
[15124.32s -> 15127.60s]  When they're gone if they are gone, then that's it
[15128.46s -> 15129.82s]  um
[15129.82s -> 15131.66s]  There's still availability
[15131.66s -> 15135.50s]  So I wouldn't worry too much about oh shit. I gotta hurry the fuck up
[15136.30s -> 15142.62s]  Uh, but we're we don't need to be in a presale anymore as of um, this this first shipment especially
[15143.26s -> 15145.26s]  So this first shipment is going
[15145.50s -> 15147.50s]  Pretty soon from my understanding. So
[15148.54s -> 15158.11s]  Yeah
[15161.33s -> 15172.94s]  Did you die your eyes, um, no
[15175.07s -> 15180.75s]  You've mastered your fear. I was at selling but first your expectations sense. We'll talk about this
[15182.90s -> 15185.55s]  You miss your daughter
[15185.55s -> 15187.71s]  My magpie
[15187.71s -> 15189.71s]  She's scared right now
[15189.79s -> 15191.92s]  She must be
[15191.92s -> 15195.31s]  Go or stay
[15196.22s -> 15198.22s]  It is time to choose
[15198.30s -> 15203.66s]  I I trained her. Well, she's a good kid strong
[15204.30s -> 15207.06s]  She'll be all right. She
[15207.06s -> 15209.30s]  You've chosen well
[15209.30s -> 15211.38s]  my child
[15211.38s -> 15213.38s]  To reach rathma
[15213.46s -> 15216.98s]  We will need to cross a lake at the bottom of these ruins
[15218.54s -> 15220.54s]  It requires a ritual
[15221.49s -> 15223.49s]  I will teach you
[15224.05s -> 15230.58s]  As you wish mother you're ready for lesson one
[15231.94s -> 15234.30s]  Blood is the key
[15235.28s -> 15237.52s]  What did you see this time?
[15237.52s -> 15239.52s]  I don't need sparing tell me
[15240.67s -> 15247.73s]  Lilith plans to teach your mother a ritual one that needs blood your mother seemed
[15248.88s -> 15251.02s]  receptive
[15251.02s -> 15254.86s]  We have to reach them
[15257.12s -> 15258.64s]  Okay, so
[15258.64s -> 15262.48s]  It's been selling that the sales have absolutely been
[15263.36s -> 15266.40s]  Above and beyond expectations. It's part of the reason to do the presale
[15266.96s -> 15272.24s]  So I told you a couple weeks ago the booster packs. We had to do another print on the boosters
[15273.49s -> 15274.77s]  because
[15274.77s -> 15277.57s]  We essentially went through the whole first print
[15278.85s -> 15280.61s]  of the booster packs
[15280.61s -> 15284.93s]  So that was part of the reason to stay in a presale for a while because we didn't want to just have it run out
[15285.49s -> 15288.61s]  And then it's just okay. Well, that's it whoever gets it gets it
[15289.25s -> 15291.33s]  without making sure that people that want to get in
[15292.05s -> 15293.73s]  on this first pass
[15293.73s -> 15296.03s]  Are able to get in so
[15296.27s -> 15301.87s]  The second print of the boosters we're in the middle of going through that now so there's inventory now
[15302.43s -> 15308.67s]  And I think we're comfortable and confident to now just pull us out of a presale and just let it just exist now
[15310.21s -> 15312.53s]  Again, we were trying to make sure to make it so
[15313.25s -> 15315.68s]  We were just gonna get it if you wanted it
[15316.69s -> 15321.49s]  And now it should be able to be available. I mean, I I don't think there's any
[15323.73s -> 15325.73s]  If you were thinking right now that
[15326.05s -> 15331.33s]  Oh my god, it's gonna run out tomorrow when they come out of presale. That's that's not going to happen. I can
[15331.97s -> 15333.97s]  Um, well, I don't know but
[15334.69s -> 15336.69s]  We we do have plenty of inventory
[15337.41s -> 15339.41s]  now that being said
[15339.65s -> 15343.97s]  I i'm not going to promise you that there will be because who knows in the future i'm not going to say
[15345.25s -> 15346.69s]  But when it's gone
[15346.69s -> 15348.45s]  It will be gone
[15348.45s -> 15350.95s]  Uh, at least uh, once when we come out of presale
[15366.40s -> 15369.26s]  And I can briefly talk about the digital version
[15369.98s -> 15372.38s]  I talked about it very briefly. I'm just gonna reiterate it one more time
[15372.78s -> 15375.10s]  The idea is to have a digital version of this
[15376.22s -> 15379.50s]  Whether it be a mod of something else or some other standalone. We don't know
[15380.22s -> 15383.82s]  We're trying to figure that out. But the whole idea is to make it because this is channel merch
[15383.90s -> 15385.90s]  it's merch for this community, but
[15386.14s -> 15388.14s]  we do understand that
[15388.62s -> 15390.62s]  There is a game on top of it
[15391.02s -> 15394.30s]  And a lot of you guys a lot of people that would be buying this
[15394.94s -> 15397.82s]  Maybe you don't have access to be able to play a physical card game with somebody
[15397.82s -> 15399.82s]  So we want to make it so it was possible
[15400.06s -> 15404.14s]  We're able to play the actual game portion of it. You don't have to worry about it too much
[15405.42s -> 15408.86s]  So the merch can be merch for the channel and then we can have a game
[15409.74s -> 15411.74s]  a digital version of the game
[15412.30s -> 15422.22s]  That you don't really have to worry about and again, this would not be let me i'm gonna make this really clear
[15422.94s -> 15427.82s]  Whatever digital version that we do and like what I said, whether it's a mod or something else
[15428.78s -> 15430.78s]  This is not a case of
[15431.42s -> 15435.74s]  Oh now I have to buy digital card packs. No
[15436.70s -> 15437.98s]  No
[15437.98s -> 15439.90s]  That's not what would be happening
[15439.90s -> 15465.42s]  Would it be all card access in the digital version?
[15466.94s -> 15468.94s]  Think the idea is that that would be yes
[15469.78s -> 15474.26s]  We're still trying to figure that out. We don't know how to implement everything perfectly
[15474.98s -> 15480.16s]  But I think that's the idea
[15480.16s -> 15484.24s]  But we're not doing booster pack openings digitally. That's just not happening
[15485.52s -> 15490.53s]  Uh, because I don't it's not something I really want to do and everybody on the team agrees with that
[15491.17s -> 15501.92s]  That'd be kind of scummy
[15501.92s -> 15503.92s]  well, I mean, yeah, that's
[15503.92s -> 15507.60s]  like I want people to to enjoy the experience right whether you
[15509.81s -> 15511.89s]  The card box the card
[15513.33s -> 15515.17s]  The booster packs
[15515.17s -> 15519.57s]  It's it's merch. It's an interesting way for me to do instead of doing a hoodie
[15520.29s -> 15524.45s]  It's okay. Well, let's do this instead and this is like when we open up. What would you get? What's in the card packs?
[15524.45s -> 15526.21s]  What's in your booster or whatever?
