[3.13s -> 4.33s]  All right, let's go.
[11468.46s -> 11470.14s]  Chittering and droning like a swarm.
[11470.78s -> 11473.10s]  Is Andy what they're calling me over here?
[11473.10s -> 11473.74s]  Giving out advice?
[11475.09s -> 11475.65s]  What?
[11475.65s -> 11477.33s]  People calling me two-voice Andy
[11477.33s -> 11479.41s]  giving out vocal advice.
[11481.55s -> 11483.39s]  They're saying how I should not be giving you
[11483.95s -> 11486.19s]  voice tips because I have three voices.
[11486.19s -> 11488.58s]  I mean, you're going to criticize...
[11488.58s -> 11489.70s]  You're going to come at me
[11489.70s -> 11490.90s]  and I'm the one...
[11490.90s -> 11491.70s]  I'm doing it.
[11491.70s -> 11494.24s]  Would you like to take over?
[11494.24s -> 11494.74s]  Yeah.
[11498.96s -> 11500.00s]  Yes, I hope you'd come.
[11503.81s -> 11505.01s]  Be our escort.
[11505.01s -> 11506.82s]  It's a dangerous world.
[11506.82s -> 11507.94s]  And you're both strong.
[11507.94s -> 11508.44s]  Stronger than...
[11509.86s -> 11512.10s]  Stronger than I even remembered.
[11513.68s -> 11514.72s]  Stop doing that to me.
[11514.72s -> 11515.60s]  It's making me angry.
[11517.38s -> 11518.58s]  This doesn't represent me.
[11518.58s -> 11519.22s]  Oh, all right, fine.
[11519.22s -> 11520.26s]  Let's do stirr's voices.
[11522.26s -> 11523.54s]  I'll come along with you.
[11523.54s -> 11525.30s]  I'm going to get a little bit of protection.
[11525.94s -> 11526.98s]  Me too.
[11526.98s -> 11533.68s]  I have no idea what happened in that whole encounter.
[11534.48s -> 11535.76s]  It was apparently...
[11535.76s -> 11537.36s]  It's a friend of Thomas.
[11537.36s -> 11542.19s]  Her wife died and she asked us to escort the body in a wagon.
[11542.19s -> 11545.60s]  Just west of Nightgrave Threshery,
[11545.60s -> 11548.00s]  Baldashi leads her oxen cart,
[11548.00s -> 11551.12s]  carrying the body of her wife down through the hills
[11551.12s -> 11552.96s]  into the arms of an old forest.
[11553.70s -> 11556.18s]  Mist rolls in as twilight takes hold.
[11556.18s -> 11557.38s]  Behind a cloudy sky.
[11560.70s -> 11564.30s]  This forest was named Lagannet when it was on the maps.
[11564.30s -> 11565.58s]  Absent forest it meant.
[11566.54s -> 11567.82s]  It's not an encouraging name.
[11568.38s -> 11572.85s]  Can I ask about Arthel?
[11573.49s -> 11575.89s]  I don't think either of us have ever met her.
[11575.89s -> 11578.86s]  You missed your other character.
[11581.46s -> 11581.96s]  Place...
[11582.90s -> 11584.66s]  Place I'm...
[11585.86s -> 11586.66s]  Place I'm looking...
[11586.66s -> 11588.42s]  Place I'm looking for shouldn't be...
[11588.42s -> 11588.92s]  You do it.
[11590.94s -> 11598.03s]  I remember you talking about her.
[11598.03s -> 11605.20s]  Sleeping type.
[11605.20s -> 11608.90s]  Always wanted her to but she was never quiet and well enough.
[11608.90s -> 11612.26s]  And she insisted on staying home to tend the farm.
[11612.26s -> 11615.79s]  We met in the spring.
[11615.79s -> 11617.07s]  I remember clearly.
[11617.63s -> 11619.71s]  My grandma had just passed.
[11620.27s -> 11622.59s]  It sounds like Hubert from Family Guy.
[11624.11s -> 11632.70s]  Come here child.
[11632.70s -> 11634.14s]  Even when you're hurting.
[11634.14s -> 11636.86s]  We built the farm there on Lucky Hill.
[11636.86s -> 11642.83s]  She liked the farm, Arthel.
[11642.83s -> 11645.63s]  She was kind and humble woman child.
[11645.63s -> 11648.35s]  She was born with an illness that never fully left.
[11649.22s -> 11650.82s]  Our good times were great.
[11650.98s -> 11652.66s]  Doesn't look kind, humble, or shy.
[11652.66s -> 11655.22s]  She looks like she just beat up a child.
[11655.22s -> 11655.72s]  Yeah.
[11656.42s -> 11658.14s]  I like her both in on it too.
[11658.14s -> 11659.74s]  Like how fucking you got them.
[11659.74s -> 11660.62s]  All right.
[11660.62s -> 11663.23s]  But our bad times.
[11663.95s -> 11665.55s]  When she couldn't rise from bed.
[11666.11s -> 11668.35s]  Those made my heart splinter.
[11668.35s -> 11669.15s]  And one day.
[11669.95s -> 11670.93s]  It shattered.
[11671.81s -> 11677.02s]  And there's one thing I know is that I don't want to live in that empty house without her.
[11677.66s -> 11681.65s]  The forest had been dead quiet.
[11682.21s -> 11683.01s]  When they entered.
[11683.57s -> 11684.93s]  As they've gone deeper.
[11684.93s -> 11687.01s]  Noises have filtered into hearing.
[11687.01s -> 11687.89s]  Drips.
[11687.89s -> 11688.45s]  Scrapes.
[11689.01s -> 11689.73s]  No trills.
[11692.02s -> 11693.78s]  The smells have turned richer.
[11693.78s -> 11695.06s]  Of damp earth.
[11695.06s -> 11696.42s]  Spicy bark.
[11696.42s -> 11698.50s]  Quilted mosses in purple, green, and beige.
[11700.46s -> 11701.26s]  Soon.
[11701.26s -> 11702.46s]  The ox halts.
[11703.26s -> 11704.78s]  They come into a clearing.
[11704.78s -> 11705.82s]  Where a goddess lives.
[11707.02s -> 11707.52s]  Oh.
[11707.90s -> 11711.14s]  Glad she?
[11715.23s -> 11715.71s]  Yes.
[11715.71s -> 11717.15s]  I didn't find her.
[11717.15s -> 11719.47s]  The reason I thought Arthel was here.
[11719.47s -> 11720.75s]  The reason I'm here.
[11720.75s -> 11723.30s]  And you're here.
[11723.30s -> 11724.82s]  Arooey.
[11724.82s -> 11727.94s]  She's a goddess of borders and in-betweens.
[11727.94s -> 11730.82s]  This realm of hers welcomes both to death and living.
[11731.54s -> 11733.65s]  So I'm here to join her.
[11734.69s -> 11736.13s]  Slip my fucking throat.
[11738.64s -> 11739.60s]  Well actually.
[11739.60s -> 11740.72s]  You have to slow down.
[11740.72s -> 11744.00s]  Clearly this idea has been germinating for some time.
[11744.00s -> 11744.40s]  I don't know.
[11744.40s -> 11744.90s]  What?
[11745.20s -> 11749.31s]  Look it's this forest.
[11749.31s -> 11750.19s]  I read about it.
[11750.19s -> 11757.78s]  This goddess Arooey rules it like a region between our world and a place for the departed.
[11757.78s -> 11759.86s]  I suppose it exists for us.
[11759.94s -> 11761.22s]  For those like us.
[11761.86s -> 11764.34s]  A place Arthel can be without pain.
[11764.98s -> 11767.14s]  And I can be with Arthel.
[11768.18s -> 11774.35s]  But isn't it just like dying yourself?
[11774.99s -> 11777.23s]  Crossing over to be together?
[11777.23s -> 11781.55s]  We'll be able to leave this place.
[11781.55s -> 11785.09s]  But why would she still live?
[11785.73s -> 11786.86s]  She will too.
[11786.86s -> 11788.14s]  We'll just live here.
[11788.14s -> 11792.86s]  You have to understand this is what I want.
[11792.86s -> 11797.66s]  All I need for you is to help me complete the ceremony and take the Bohoroks back with you.
[11799.28s -> 11803.04s]  I did not expect this character was going to have this much dialogue for you to do.
[11804.64s -> 11806.64s]  You are monologuing as this.
[11808.96s -> 11812.96s]  Okay.
[11812.96s -> 11813.60s]  All right.
[11813.60s -> 11820.68s]  Okay.
[11821.78s -> 11822.90s]  This is your choice.
[11825.60s -> 11830.08s]  I mean we can't just throw your life behind.
[11830.64s -> 11832.16s]  No we can't.
[11834.08s -> 11834.58s]  We can't.
[11835.20s -> 11839.26s]  What do you mean you can't let me?
[11842.22s -> 11846.22s]  We're not in the business of letting friends die by any name.
[11846.22s -> 11847.74s]  By their choice or not.
[11847.74s -> 11849.66s]  I know you feel this is the only way.
[11849.66s -> 11853.52s]  But why?
[11853.52s -> 11855.28s]  What proof do you have that it'll work?
[11855.84s -> 11858.56s]  Do you think this goddess will demand nothing else from you?
[11866.75s -> 11868.75s]  You're not doing this today.
[11868.75s -> 11871.62s]  That's a starting point isn't it?
[11871.62s -> 11872.74s]  All that matters is today.
[11876.13s -> 11881.15s]  Silent minutes slip by.
[11881.15s -> 11884.35s]  They pass without motion save for the roll of mist.
[11884.35s -> 11886.03s]  The blink of damp eyelids.
[11886.03s -> 11887.63s]  The fall of silver-struck tears.
[11888.37s -> 11895.92s]  Finally Baladji raises her head and addresses the shrine at her back.
[11895.92s -> 11898.24s]  Dear goddess I'm sorry.
[11898.24s -> 11901.92s]  Today I'll leave your wood to your own.
[11901.92s -> 11905.12s]  Let me be back.
[11905.12s -> 11908.43s]  They turn the ox around.
[11909.07s -> 11918.26s]  But surprising and slow a low long stretch sound coils from the stones.
[11918.26s -> 11919.22s]  The roots.
[11919.22s -> 11919.78s]  The earth.
[11920.50s -> 11922.45s]  Baladji?
[11922.45s -> 11924.08s]  I don't know.
[11924.16s -> 11929.82s]  As it speaks something huge crashes through the trees.
[11933.81s -> 11934.05s]  What?
[11935.66s -> 11936.94s]  Please stay.
[11936.94s -> 11938.54s]  It's a retainer of the old god.
[11940.80s -> 11941.84s]  It's gonna kill us man.
[11941.84s -> 11943.68s]  It's gonna keep us here and we're gonna die.
[11943.68s -> 11945.36s]  So wait this is what is this thing?
[11945.36s -> 11946.24s]  What what is this thing?
[11947.12s -> 11952.24s]  It's I don't know the stones that were part of the shrine came to life and it demanded that we stay.
[11952.96s -> 11954.72s]  So I think it's trying to kill us.
[11954.72s -> 11955.92s]  Oh shit all right.
[11957.79s -> 11958.29s]  Let's go.
[11962.03s -> 11964.03s]  The wizard runs at the giant beast.
[11965.07s -> 11965.71s]  Stick in hand.
[11967.26s -> 11968.94s]  Oh he's gonna kill me.
[11968.94s -> 11970.14s]  He's gonna I'm getting out of here.
[11970.14s -> 11970.70s]  I'm getting out of here.
[11976.29s -> 11978.69s]  Jesus Christ.
[11978.69s -> 11982.05s]  My turn from the shadows.
[11982.05s -> 11983.42s]  All right.
[11983.42s -> 11984.30s]  Love is vengeance.
[11985.70s -> 11990.26s]  I'm just imagining somebody during this screaming Jesus Christ.
[11991.78s -> 11992.74s]  You're wearing different.
[11992.74s -> 11993.62s]  I don't know the villain is.
[11996.02s -> 11997.54s]  They leave the forest.
[11997.54s -> 11998.98s]  I can't with this fucking segment.
[12002.24s -> 12003.52s]  The last light lingers.
[12004.00s -> 12005.20s]  This time of year.
[12005.76s -> 12007.36s]  This is your side quest by the way.
[12007.36s -> 12009.12s]  It's not even been about you owl.
[12009.12s -> 12011.76s]  You think we upset her the goddess.
[12014.58s -> 12016.02s]  Gods aren't like us.
[12016.02s -> 12017.70s]  The judgment isn't easy to sway.
[12017.70s -> 12020.02s]  But they do accept appeasement.
[12020.02s -> 12021.54s]  Speaking from all our red anyway.
[12022.10s -> 12026.40s]  It's a thoughtful journey back to the farm.
[12026.40s -> 12028.48s]  Belatia and Othell once built.
[12028.48s -> 12032.72s]  At least one of us should be getting back.
[12032.72s -> 12033.92s]  But one of us could stay.
[12034.56s -> 12038.51s]  Belatia seems to be developing a habit.
[12038.51s -> 12039.71s]  Oh you want to be in the right now?
[12039.71s -> 12040.83s]  No I'm desperate.
[12041.31s -> 12042.51s]  I thought it was her talking.
[12042.51s -> 12044.35s]  No you interjected and now you must leave.
[12045.95s -> 12048.99s]  Seems to be developing a habit for silence.
[12048.99s -> 12050.43s]  But then she sighs.
[12051.71s -> 12053.47s]  I think I will bury her.
[12055.87s -> 12057.15s]  I mean I mean come on.
[12057.79s -> 12061.14s]  I'm trying myself and slaying the god beast.
[12061.14s -> 12063.06s]  I think I might just bury her.
[12065.17s -> 12066.37s]  I'm grateful to you.
[12066.37s -> 12070.29s]  I'll keep in touch and oh well what can I really promise.
[12071.01s -> 12076.75s]  And so you guys leave.
[12078.27s -> 12081.15s]  She returns to her normal life and buries her loved one.
[12081.15s -> 12081.47s]  Okay.
[12085.66s -> 12090.06s]  Oh it's hard to let the good things go.
[12091.60s -> 12097.17s]  Yeah wishes come true but not always forever.
[12097.17s -> 12099.33s]  Friends are useful then I guess.
[12099.33s -> 12101.81s]  They pull you along when you just want to lie down in the road.
[12104.82s -> 12107.30s]  Oh along us wherever you are.
[12107.30s -> 12109.46s]  Maybe time to start looking into immortality.
[12111.06s -> 12112.10s]  The wind picks up.
[12112.66s -> 12114.26s]  They take their time returning home.
[12116.94s -> 12118.94s]  Oh we get some fucking hotwood.
[12118.94s -> 12119.74s]  We took our clothes.
[12120.70s -> 12122.06s]  We got some heartwood.
[12122.06s -> 12123.42s]  Thomas leveled up.
[12123.42s -> 12126.40s]  Oh I did all right.
[12126.40s -> 12131.14s]  Oh I'm not doing that.
[12132.13s -> 12133.65s]  Maybe naturalist.
[12133.65s -> 12136.82s]  You could re-roll these if they're kind of weak.
[12136.82s -> 12138.10s]  Oh infuse ranging.
[12138.10s -> 12139.84s]  Actually I like this.
[12139.84s -> 12142.64s]  That's I feel like I'm a little too far away sometimes.
[12142.64s -> 12144.29s]  Yeah I like that.
[12146.69s -> 12149.23s]  Let's head to Mist and Timberland then.
[12149.23s -> 12149.71s]  Push on.
[12151.55s -> 12152.59s]  We move on.
[12152.59s -> 12154.61s]  We press on.
[12154.61s -> 12162.22s]  By the way when I was I kind of had a moment back there.
[12162.22s -> 12163.50s]  When I was giving you shit bro.
[12163.50s -> 12165.42s]  Doing every voice like this.
[12166.30s -> 12168.78s]  Everybody in my chat was saying what about like Goku?
[12168.78s -> 12169.66s]  And if you don't know.
[12169.66s -> 12170.54s]  I do that too.
[12170.54s -> 12171.82s]  Everybody talks like this.
[12171.82s -> 12173.58s]  Everybody sounds like Mr Satan.
[12173.58s -> 12175.74s]  I just do a variation of that so I'm full of shit.
[12177.44s -> 12179.74s]  Everyone has two voices.
[12179.74s -> 12181.10s]  Yeah every yeah guys.
[12181.10s -> 12183.02s]  Everyone has two voices.
[12183.02s -> 12199.25s]  Well rumors of Gorgons have led the Bastion the Fabulous Four
[12199.25s -> 12202.61s]  through tangled woods to the side of a long forgotten roof.
[12203.33s -> 12208.29s]  Windborn rock and decayed edifices are all that remain of this ancient city.
[12208.29s -> 12212.83s]  Even the locals don't know who used to live here.
[12213.39s -> 12216.37s]  Petrified rat over here.
[12216.37s -> 12218.05s]  Nice of them to leave us a trail.
[12218.05s -> 12222.75s]  I wonder what lured them all the way out here.
[12222.75s -> 12226.19s]  Their trail was direct.
[12226.83s -> 12227.47s]  Calculated.
[12228.11s -> 12229.39s]  Might mean to stay.
[12229.39s -> 12231.39s]  Wouldn't be hard to make a place defensible.
[12231.39s -> 12232.99s]  The stoneworks set in good condition.
[12236.69s -> 12238.37s]  I forgot that your character looked like that.
[12238.37s -> 12239.09s]  It's been so long.
[12239.73s -> 12241.09s]  I jump out of the bushes.
[12241.09s -> 12245.41s]  One civilization falls another is built on the bones of their dead.
[12247.26s -> 12247.74s]  The dead.
[12248.38s -> 12254.82s]  Sometimes it's easy to forget they were real people.
[12254.82s -> 12255.78s]  Ordinary.
[12255.78s -> 12256.34s]  Most of them.
[12256.90s -> 12257.62s]  Probably.
[12257.62s -> 12262.35s]  Because you're a narcissist.
[12262.35s -> 12267.23s]  You know with all the usual hopes and fears and everyday concerns.
[12267.23s -> 12278.08s]  Thousands of feet must have trodden these streets every day exchanging goods and information.
[12278.08s -> 12281.41s]  And those must have been houses.
[12281.41s -> 12284.93s]  Not too fancy but the space a man calls his own.
[12284.93s -> 12286.37s]  I'm just you've been doing that.
[12286.37s -> 12287.73s]  I'm doing your voice now.
[12287.73s -> 12289.65s]  The space a man calls his own doesn't have to be.
[12294.30s -> 12295.26s]  Maybe we switch.
[12295.26s -> 12297.02s]  Like we've been married so long.
[12297.02s -> 12297.74s]  Okay let's switch it up.
[12299.20s -> 12301.36s]  You've given it a lot of thought love.
[12301.36s -> 12304.88s]  Wonder what kind of lives we could have lived if we'd settled in a place like this.
[12312.19s -> 12314.51s]  In the open pit of an old amphitheater.
[12314.51s -> 12316.11s]  Gorgon beast Bray and Mill.
[12317.06s -> 12317.78s]  Whoops.
[12317.78s -> 12319.06s]  Did we just walk in.
[12319.78s -> 12324.35s]  There are a bunch of them standing under that filler.
[12324.35s -> 12325.55s]  How about I bring it down.
[12326.27s -> 12330.32s]  Fire create confusion and the smoke will provide cover.
[12330.32s -> 12333.50s]  I'm an intimidation guy.
[12333.50s -> 12334.00s]  Yeah.
[12344.64s -> 12348.16s]  They've worked.
[12348.16s -> 12349.68s]  All enemies suffer two damage.
